notes,Cleaned_Column
"2022-06-02 14:04:21 - SolarWinds Integration (Work notes)
Alert reset - issue detected as resolved by Orion
[code]<a rel=""noopener noreferrer nofollow"" href=""https://solarwinds.wescoair.com:443/Orion/View.aspx?NetObject=AAT:80992"" target=""_blank"">Orion Alert Details</a>[/code]

2022-06-02 09:45:07 - Ranjan Kumar (Work notes)
Out of service desk scope hence assigning the ticket to concern team,

","20220602 140421  solarwinds integration work notes
alert reset  issue detected as resolved by orion
codea relnoopener noreferrer nofollow hrefhttpssolarwindswescoaircom443orionviewaspxnetobjectaat80992 target_blankorion alert detailsacode

20220602 094507  ranjan kumar work notes
out of service desk scope hence assigning the ticket to concern team

"
"2022-06-03 03:44:32 - SolarWinds Integration (Work notes)
Alert reset - issue detected as resolved by Orion
[code]<a rel=""noopener noreferrer nofollow"" href=""https://solarwinds.wescoair.com:443/Orion/View.aspx?NetObject=AAT:81710"" target=""_blank"">Orion Alert Details</a>[/code]

2022-06-02 10:27:54 - Ranjan Kumar (Work notes)
Out of service desk scope hence assigning the ticket to concern team,

","20220603 034432  solarwinds integration work notes
alert reset  issue detected as resolved by orion
codea relnoopener noreferrer nofollow hrefhttpssolarwindswescoaircom443orionviewaspxnetobjectaat81710 target_blankorion alert detailsacode

20220602 102754  ranjan kumar work notes
out of service desk scope hence assigning the ticket to concern team

"
"2022-06-03 00:28:30 - SolarWinds Integration (Work notes)
Alert reset - issue detected as resolved by Orion
[code]<a rel=""noopener noreferrer nofollow"" href=""https://solarwinds.wescoair.com:443/Orion/View.aspx?NetObject=AAT:81154"" target=""_blank"">Orion Alert Details</a>[/code]

2022-06-02 10:44:05 - Ranjan Kumar (Work notes)
Out of service desk scope hence assigning the ticket to concern team,

","20220603 002830  solarwinds integration work notes
alert reset  issue detected as resolved by orion
codea relnoopener noreferrer nofollow hrefhttpssolarwindswescoaircom443orionviewaspxnetobjectaat81154 target_blankorion alert detailsacode

20220602 104405  ranjan kumar work notes
out of service desk scope hence assigning the ticket to concern team

"
"2022-06-02 10:52:32 - SolarWinds Integration (Work notes)
Alert reset - issue detected as resolved by Orion
[code]<a rel=""noopener noreferrer nofollow"" href=""https://solarwinds.wescoair.com:443/Orion/View.aspx?NetObject=AAT:70879"" target=""_blank"">Orion Alert Details</a>[/code]

2022-06-02 10:49:07 - Mohammed Haaris (Work notes)
out of Service Desk scope. Hence, Assigning to concern team.

","20220602 105232  solarwinds integration work notes
alert reset  issue detected as resolved by orion
codea relnoopener noreferrer nofollow hrefhttpssolarwindswescoaircom443orionviewaspxnetobjectaat70879 target_blankorion alert detailsacode

20220602 104907  mohammed haaris work notes
out of service desk scope hence assigning to concern team

"
"2022-06-02 11:26:23 - SolarWinds Integration (Work notes)
Alert reset - issue detected as resolved by Orion
[code]<a rel=""noopener noreferrer nofollow"" href=""https://solarwinds.wescoair.com:443/Orion/View.aspx?NetObject=AAT:94939"" target=""_blank"">Orion Alert Details</a>[/code]

2022-06-02 11:17:16 - Mohammed Haaris (Work notes)
out of Service Desk scope. Hence, Assigning to concern team.

","20220602 112623  solarwinds integration work notes
alert reset  issue detected as resolved by orion
codea relnoopener noreferrer nofollow hrefhttpssolarwindswescoaircom443orionviewaspxnetobjectaat94939 target_blankorion alert detailsacode

20220602 111716  mohammed haaris work notes
out of service desk scope hence assigning to concern team

"
"2022-06-03 00:18:29 - SolarWinds Integration (Work notes)
Alert reset - issue detected as resolved by Orion
[code]<a rel=""noopener noreferrer nofollow"" href=""https://solarwinds.wescoair.com:443/Orion/View.aspx?NetObject=AAT:81187"" target=""_blank"">Orion Alert Details</a>[/code]

2022-06-02 11:50:05 - Mohammed Haaris (Work notes)
out of Service Desk scope. Hence, Assigning to concern team.

","20220603 001829  solarwinds integration work notes
alert reset  issue detected as resolved by orion
codea relnoopener noreferrer nofollow hrefhttpssolarwindswescoaircom443orionviewaspxnetobjectaat81187 target_blankorion alert detailsacode

20220602 115005  mohammed haaris work notes
out of service desk scope hence assigning to concern team

"
"2022-06-02 13:34:17 - SolarWinds Integration (Work notes)
Alert reset - issue detected as resolved by Orion
[code]<a rel=""noopener noreferrer nofollow"" href=""https://solarwinds.wescoair.com:443/Orion/View.aspx?NetObject=AAT:62298"" target=""_blank"">Orion Alert Details</a>[/code]

2022-06-02 12:04:03 - Mohammed Haaris (Work notes)
out of Service Desk scope. Hence, Assigning to concern team.

","20220602 133417  solarwinds integration work notes
alert reset  issue detected as resolved by orion
codea relnoopener noreferrer nofollow hrefhttpssolarwindswescoaircom443orionviewaspxnetobjectaat62298 target_blankorion alert detailsacode

20220602 120403  mohammed haaris work notes
out of service desk scope hence assigning to concern team

"
"2022-06-07 09:30:23 - SolarWinds Integration (Work notes)
Alert reset - issue detected as resolved by Orion
[code]<a rel=""noopener noreferrer nofollow"" href=""https://solarwinds.wescoair.com:443/Orion/View.aspx?NetObject=AAT:81233"" target=""_blank"">Orion Alert Details</a>[/code]

2022-06-03 07:52:37 - Albin Cherian (Work notes)
We are working on it

","20220607 093023  solarwinds integration work notes
alert reset  issue detected as resolved by orion
codea relnoopener noreferrer nofollow hrefhttpssolarwindswescoaircom443orionviewaspxnetobjectaat81233 target_blankorion alert detailsacode

20220603 075237  albin cherian work notes
we are working on it

"
"2022-06-02 12:39:28 - SolarWinds Integration (Work notes)
Alert reset - issue detected as resolved by Orion
[code]<a rel=""noopener noreferrer nofollow"" href=""https://solarwinds.wescoair.com:443/Orion/View.aspx?NetObject=AAT:92701"" target=""_blank"">Orion Alert Details</a>[/code]

","20220602 123928  solarwinds integration work notes
alert reset  issue detected as resolved by orion
codea relnoopener noreferrer nofollow hrefhttpssolarwindswescoaircom443orionviewaspxnetobjectaat92701 target_blankorion alert detailsacode

"
"2022-06-02 13:08:09 - SolarWinds Integration (Work notes)
Alert reset - issue detected as resolved by Orion
[code]<a rel=""noopener noreferrer nofollow"" href=""https://solarwinds.wescoair.com:443/Orion/View.aspx?NetObject=AAT:81097"" target=""_blank"">Orion Alert Details</a>[/code]

","20220602 130809  solarwinds integration work notes
alert reset  issue detected as resolved by orion
codea relnoopener noreferrer nofollow hrefhttpssolarwindswescoaircom443orionviewaspxnetobjectaat81097 target_blankorion alert detailsacode

"
"2022-06-02 13:43:11 - SolarWinds Integration (Work notes)
Alert reset - issue detected as resolved by Orion
[code]<a rel=""noopener noreferrer nofollow"" href=""https://solarwinds.wescoair.com:443/Orion/View.aspx?NetObject=AAT:81171"" target=""_blank"">Orion Alert Details</a>[/code]

2022-06-02 13:38:29 - Mohammed Haaris (Work notes)
out of Service Desk scope. Hence, Assigning to concern team.

","20220602 134311  solarwinds integration work notes
alert reset  issue detected as resolved by orion
codea relnoopener noreferrer nofollow hrefhttpssolarwindswescoaircom443orionviewaspxnetobjectaat81171 target_blankorion alert detailsacode

20220602 133829  mohammed haaris work notes
out of service desk scope hence assigning to concern team

"
"2022-06-02 13:38:29 - Mohammed Haaris (Work notes)
out of Service Desk scope. Hence, Assigning to concern team.

2022-06-02 13:38:24 - SolarWinds Integration (Work notes)
Alert reset - issue detected as resolved by Orion
[code]<a rel=""noopener noreferrer nofollow"" href=""https://solarwinds.wescoair.com:443/Orion/View.aspx?NetObject=AAT:71488"" target=""_blank"">Orion Alert Details</a>[/code]

","20220602 133829  mohammed haaris work notes
out of service desk scope hence assigning to concern team

20220602 133824  solarwinds integration work notes
alert reset  issue detected as resolved by orion
codea relnoopener noreferrer nofollow hrefhttpssolarwindswescoaircom443orionviewaspxnetobjectaat71488 target_blankorion alert detailsacode

"
"2022-06-02 14:34:22 - SolarWinds Integration (Work notes)
Alert reset - issue detected as resolved by Orion
[code]<a rel=""noopener noreferrer nofollow"" href=""https://solarwinds.wescoair.com:443/Orion/View.aspx?NetObject=AAT:80993"" target=""_blank"">Orion Alert Details</a>[/code]

","20220602 143422  solarwinds integration work notes
alert reset  issue detected as resolved by orion
codea relnoopener noreferrer nofollow hrefhttpssolarwindswescoaircom443orionviewaspxnetobjectaat80993 target_blankorion alert detailsacode

"
"2022-06-02 14:49:20 - SolarWinds Integration (Work notes)
Alert reset - issue detected as resolved by Orion
[code]<a rel=""noopener noreferrer nofollow"" href=""https://solarwinds.wescoair.com:443/Orion/View.aspx?NetObject=AAT:91832"" target=""_blank"">Orion Alert Details</a>[/code]

","20220602 144920  solarwinds integration work notes
alert reset  issue detected as resolved by orion
codea relnoopener noreferrer nofollow hrefhttpssolarwindswescoaircom443orionviewaspxnetobjectaat91832 target_blankorion alert detailsacode

"
"2022-06-03 00:08:46 - SolarWinds Integration (Work notes)
Alert reset - issue detected as resolved by Orion
[code]<a rel=""noopener noreferrer nofollow"" href=""https://solarwinds.wescoair.com:443/Orion/View.aspx?NetObject=AAT:85485"" target=""_blank"">Orion Alert Details</a>[/code]

2022-06-02 22:33:45 - SolarWinds Integration (Work notes)
Orion alert has been reactivated.

2022-06-02 22:23:43 - SolarWinds Integration (Work notes)
Alert reset - issue detected as resolved by Orion
[code]<a rel=""noopener noreferrer nofollow"" href=""https://solarwinds.wescoair.com:443/Orion/View.aspx?NetObject=AAT:85485"" target=""_blank"">Orion Alert Details</a>[/code]

2022-06-02 19:58:39 - SolarWinds Integration (Work notes)
Orion alert has been reactivated.

2022-06-02 19:48:38 - SolarWinds Integration (Work notes)
Alert reset - issue detected as resolved by Orion
[code]<a rel=""noopener noreferrer nofollow"" href=""https://solarwinds.wescoair.com:443/Orion/View.aspx?NetObject=AAT:85485"" target=""_blank"">Orion Alert Details</a>[/code]

2022-06-02 19:03:38 - SolarWinds Integration (Work notes)
Orion alert has been reactivated.

2022-06-02 18:53:36 - SolarWinds Integration (Work notes)
Alert reset - issue detected as resolved by Orion
[code]<a rel=""noopener noreferrer nofollow"" href=""https://solarwinds.wescoair.com:443/Orion/View.aspx?NetObject=AAT:85485"" target=""_blank"">Orion Alert Details</a>[/code]

2022-06-02 18:28:36 - SolarWinds Integration (Work notes)
Orion alert has been reactivated.

2022-06-02 18:18:34 - SolarWinds Integration (Work notes)
Alert reset - issue detected as resolved by Orion
[code]<a rel=""noopener noreferrer nofollow"" href=""https://solarwinds.wescoair.com:443/Orion/View.aspx?NetObject=AAT:85485"" target=""_blank"">Orion Alert Details</a>[/code]

2022-06-02 18:08:34 - SolarWinds Integration (Work notes)
Orion alert has been reactivated.

2022-06-02 17:58:33 - SolarWinds Integration (Work notes)
Alert reset - issue detected as resolved by Orion
[code]<a rel=""noopener noreferrer nofollow"" href=""https://solarwinds.wescoair.com:443/Orion/View.aspx?NetObject=AAT:85485"" target=""_blank"">Orion Alert Details</a>[/code]

2022-06-02 17:38:33 - SolarWinds Integration (Work notes)
Orion alert has been reactivated.

2022-06-02 17:23:32 - SolarWinds Integration (Work notes)
Alert reset - issue detected as resolved by Orion
[code]<a rel=""noopener noreferrer nofollow"" href=""https://solarwinds.wescoair.com:443/Orion/View.aspx?NetObject=AAT:85485"" target=""_blank"">Orion Alert Details</a>[/code]

2022-06-02 15:23:28 - SolarWinds Integration (Work notes)
Orion alert has been reactivated.

2022-06-02 15:13:28 - SolarWinds Integration (Work notes)
Alert reset - issue detected as resolved by Orion
[code]<a rel=""noopener noreferrer nofollow"" href=""https://solarwinds.wescoair.com:443/Orion/View.aspx?NetObject=AAT:85485"" target=""_blank"">Orion Alert Details</a>[/code]

2022-06-02 14:39:15 - Mohammed Haaris (Work notes)
out of Service Desk scope. Hence, Assigning to concern team.

","20220603 000846  solarwinds integration work notes
alert reset  issue detected as resolved by orion
codea relnoopener noreferrer nofollow hrefhttpssolarwindswescoaircom443orionviewaspxnetobjectaat85485 target_blankorion alert detailsacode

20220602 223345  solarwinds integration work notes
orion alert has been reactivated

20220602 222343  solarwinds integration work notes
alert reset  issue detected as resolved by orion
codea relnoopener noreferrer nofollow hrefhttpssolarwindswescoaircom443orionviewaspxnetobjectaat85485 target_blankorion alert detailsacode

20220602 195839  solarwinds integration work notes
orion alert has been reactivated

20220602 194838  solarwinds integration work notes
alert reset  issue detected as resolved by orion
codea relnoopener noreferrer nofollow hrefhttpssolarwindswescoaircom443orionviewaspxnetobjectaat85485 target_blankorion alert detailsacode

20220602 190338  solarwinds integration work notes
orion alert has been reactivated

20220602 185336  solarwinds integration work notes
alert reset  issue detected as resolved by orion
codea relnoopener noreferrer nofollow hrefhttpssolarwindswescoaircom443orionviewaspxnetobjectaat85485 target_blankorion alert detailsacode

20220602 182836  solarwinds integration work notes
orion alert has been reactivated

20220602 181834  solarwinds integration work notes
alert reset  issue detected as resolved by orion
codea relnoopener noreferrer nofollow hrefhttpssolarwindswescoaircom443orionviewaspxnetobjectaat85485 target_blankorion alert detailsacode

20220602 180834  solarwinds integration work notes
orion alert has been reactivated

20220602 175833  solarwinds integration work notes
alert reset  issue detected as resolved by orion
codea relnoopener noreferrer nofollow hrefhttpssolarwindswescoaircom443orionviewaspxnetobjectaat85485 target_blankorion alert detailsacode

20220602 173833  solarwinds integration work notes
orion alert has been reactivated

20220602 172332  solarwinds integration work notes
alert reset  issue detected as resolved by orion
codea relnoopener noreferrer nofollow hrefhttpssolarwindswescoaircom443orionviewaspxnetobjectaat85485 target_blankorion alert detailsacode

20220602 152328  solarwinds integration work notes
orion alert has been reactivated

20220602 151328  solarwinds integration work notes
alert reset  issue detected as resolved by orion
codea relnoopener noreferrer nofollow hrefhttpssolarwindswescoaircom443orionviewaspxnetobjectaat85485 target_blankorion alert detailsacode

20220602 143915  mohammed haaris work notes
out of service desk scope hence assigning to concern team

"
"2022-06-02 15:11:31 - SolarWinds Integration (Work notes)
Alert reset - issue detected as resolved by Orion
[code]<a rel=""noopener noreferrer nofollow"" href=""https://solarwinds.wescoair.com:443/Orion/View.aspx?NetObject=AAT:94939"" target=""_blank"">Orion Alert Details</a>[/code]

","20220602 151131  solarwinds integration work notes
alert reset  issue detected as resolved by orion
codea relnoopener noreferrer nofollow hrefhttpssolarwindswescoaircom443orionviewaspxnetobjectaat94939 target_blankorion alert detailsacode

"
"2022-06-03 00:37:26 - SolarWinds Integration (Work notes)
Alert reset - issue detected as resolved by Orion
[code]<a rel=""noopener noreferrer nofollow"" href=""https://solarwinds.wescoair.com:443/Orion/View.aspx?NetObject=AAT:85482"" target=""_blank"">Orion Alert Details</a>[/code]

","20220603 003726  solarwinds integration work notes
alert reset  issue detected as resolved by orion
codea relnoopener noreferrer nofollow hrefhttpssolarwindswescoaircom443orionviewaspxnetobjectaat85482 target_blankorion alert detailsacode

"
"2022-06-02 17:34:14 - Richard Williamsgnanamuttu (Work notes)
Application: SQL Components 

Application Component: SQL Server (MSSQLSERVER)

Application State: Up

Node Name : GBDVSMS0

IP Address: 10.224.96.180

Component Statistic Data

2022-06-02 15:22:44 - SolarWinds Integration (Work notes)
Alert reset - issue detected as resolved by Orion
[code]<a rel=""noopener noreferrer nofollow"" href=""https://solarwinds.wescoair.com:443/Orion/View.aspx?NetObject=AAT:82738"" target=""_blank"">Orion Alert Details</a>[/code]

","20220602 173414  richard williamsgnanamuttu work notes
application sql components 

application component sql server mssqlserver

application state up

node name  gbdvsms0

ip address 1022496180

component statistic data

20220602 152244  solarwinds integration work notes
alert reset  issue detected as resolved by orion
codea relnoopener noreferrer nofollow hrefhttpssolarwindswescoaircom443orionviewaspxnetobjectaat82738 target_blankorion alert detailsacode

"
"2022-06-02 16:18:07 - SolarWinds Integration (Work notes)
Alert reset - issue detected as resolved by Orion
[code]<a rel=""noopener noreferrer nofollow"" href=""https://solarwinds.wescoair.com:443/Orion/View.aspx?NetObject=AAT:97239"" target=""_blank"">Orion Alert Details</a>[/code]

2022-06-02 15:38:31 - Mohammed Haaris (Work notes)
out of Service Desk scope. Hence, Assigning to concern team.

","20220602 161807  solarwinds integration work notes
alert reset  issue detected as resolved by orion
codea relnoopener noreferrer nofollow hrefhttpssolarwindswescoaircom443orionviewaspxnetobjectaat97239 target_blankorion alert detailsacode

20220602 153831  mohammed haaris work notes
out of service desk scope hence assigning to concern team

"
,
"2022-06-02 17:03:36 - SolarWinds Integration (Work notes)
Alert reset - issue detected as resolved by Orion
[code]<a rel=""noopener noreferrer nofollow"" href=""https://solarwinds.wescoair.com:443/Orion/View.aspx?NetObject=AAT:92142"" target=""_blank"">Orion Alert Details</a>[/code]

","20220602 170336  solarwinds integration work notes
alert reset  issue detected as resolved by orion
codea relnoopener noreferrer nofollow hrefhttpssolarwindswescoaircom443orionviewaspxnetobjectaat92142 target_blankorion alert detailsacode

"
"2022-06-02 17:36:34 - SolarWinds Integration (Work notes)
Alert reset - issue detected as resolved by Orion
[code]<a rel=""noopener noreferrer nofollow"" href=""https://solarwinds.wescoair.com:443/Orion/View.aspx?NetObject=AAT:70571"" target=""_blank"">Orion Alert Details</a>[/code]

2022-06-02 16:48:38 - Mohammed Haaris (Work notes)
out of Service Desk scope. Hence, Assigning to concern team.

","20220602 173634  solarwinds integration work notes
alert reset  issue detected as resolved by orion
codea relnoopener noreferrer nofollow hrefhttpssolarwindswescoaircom443orionviewaspxnetobjectaat70571 target_blankorion alert detailsacode

20220602 164838  mohammed haaris work notes
out of service desk scope hence assigning to concern team

"
"2022-06-02 17:34:01 - SolarWinds Integration (Work notes)
Alert reset - issue detected as resolved by Orion
[code]<a rel=""noopener noreferrer nofollow"" href=""https://solarwinds.wescoair.com:443/Orion/View.aspx?NetObject=AAT:78218"" target=""_blank"">Orion Alert Details</a>[/code]

","20220602 173401  solarwinds integration work notes
alert reset  issue detected as resolved by orion
codea relnoopener noreferrer nofollow hrefhttpssolarwindswescoaircom443orionviewaspxnetobjectaat78218 target_blankorion alert detailsacode

"
"2022-06-02 17:34:02 - SolarWinds Integration (Work notes)
Alert reset - issue detected as resolved by Orion
[code]<a rel=""noopener noreferrer nofollow"" href=""https://solarwinds.wescoair.com:443/Orion/View.aspx?NetObject=AAT:78219"" target=""_blank"">Orion Alert Details</a>[/code]

","20220602 173402  solarwinds integration work notes
alert reset  issue detected as resolved by orion
codea relnoopener noreferrer nofollow hrefhttpssolarwindswescoaircom443orionviewaspxnetobjectaat78219 target_blankorion alert detailsacode

"
"2022-06-02 17:34:35 - SolarWinds Integration (Work notes)
Alert reset - issue detected as resolved by Orion
[code]<a rel=""noopener noreferrer nofollow"" href=""https://solarwinds.wescoair.com:443/Orion/View.aspx?NetObject=AAT:78217"" target=""_blank"">Orion Alert Details</a>[/code]

2022-06-02 17:17:43 - Anil Antoney (Work notes)
please hold the ticket with the update - network issue due to power failure at the site , INC0110853

2022-06-02 17:13:32 - Anil Antoney (Work notes)
Network nodes are down at Chihuahua-SSC. As per local contact there is an Outage.

2022-06-02 17:08:53 - Sreenath Nair (Work notes)
Power Outage at Site

","20220602 173435  solarwinds integration work notes
alert reset  issue detected as resolved by orion
codea relnoopener noreferrer nofollow hrefhttpssolarwindswescoaircom443orionviewaspxnetobjectaat78217 target_blankorion alert detailsacode

20220602 171743  anil antoney work notes
please hold the ticket with the update  network issue due to power failure at the site  inc0110853

20220602 171332  anil antoney work notes
network nodes are down at chihuahuassc as per local contact there is an outage

20220602 170853  sreenath nair work notes
power outage at site

"
"2022-06-02 17:34:36 - SolarWinds Integration (Work notes)
Work note copied from Parent Incident: Alert reset - issue detected as resolved by Orion
[code]<a rel=""noopener noreferrer nofollow"" href=""https://solarwinds.wescoair.com:443/Orion/View.aspx?NetObject=AAT:78217"" target=""_blank"">Orion Alert Details</a>[/code]

2022-06-02 17:34:35 - SolarWinds Integration (Work notes)
Alert reset - issue detected as resolved by Orion
[code]<a rel=""noopener noreferrer nofollow"" href=""https://solarwinds.wescoair.com:443/Orion/View.aspx?NetObject=AAT:78216"" target=""_blank"">Orion Alert Details</a>[/code]

2022-06-02 17:18:02 - Anil Antoney (Work notes)
network issue due to power failure at the site , INC0110853

2022-06-02 17:17:45 - Anil Antoney (Work notes)
Work note copied from Parent Incident: please hold the ticket with the update - network issue due to power failure at the site , INC0110853

2022-06-02 17:13:33 - Anil Antoney (Work notes)
Work note copied from Parent Incident: Network nodes are down at Chihuahua-SSC. As per local contact there is an Outage.

2022-06-02 17:12:08 - Anil Antoney (Work notes)
Network nodes are down at Chihuahua-SSC. As per local contact there is an Outage.

2022-06-02 17:08:53 - Sreenath Nair (Work notes)
Work note copied from Parent Incident: Power Outage at Site

","20220602 173436  solarwinds integration work notes
work note copied from parent incident alert reset  issue detected as resolved by orion
codea relnoopener noreferrer nofollow hrefhttpssolarwindswescoaircom443orionviewaspxnetobjectaat78217 target_blankorion alert detailsacode

20220602 173435  solarwinds integration work notes
alert reset  issue detected as resolved by orion
codea relnoopener noreferrer nofollow hrefhttpssolarwindswescoaircom443orionviewaspxnetobjectaat78216 target_blankorion alert detailsacode

20220602 171802  anil antoney work notes
network issue due to power failure at the site  inc0110853

20220602 171745  anil antoney work notes
work note copied from parent incident please hold the ticket with the update  network issue due to power failure at the site  inc0110853

20220602 171333  anil antoney work notes
work note copied from parent incident network nodes are down at chihuahuassc as per local contact there is an outage

20220602 171208  anil antoney work notes
network nodes are down at chihuahuassc as per local contact there is an outage

20220602 170853  sreenath nair work notes
work note copied from parent incident power outage at site

"
"2022-06-02 17:35:12 - SolarWinds Integration (Work notes)
Alert reset - issue detected as resolved by Orion
[code]<a rel=""noopener noreferrer nofollow"" href=""https://solarwinds.wescoair.com:443/Orion/View.aspx?NetObject=AAT:77762"" target=""_blank"">Orion Alert Details</a>[/code]

2022-06-02 17:34:36 - SolarWinds Integration (Work notes)
Work note copied from Parent Incident: Alert reset - issue detected as resolved by Orion
[code]<a rel=""noopener noreferrer nofollow"" href=""https://solarwinds.wescoair.com:443/Orion/View.aspx?NetObject=AAT:78217"" target=""_blank"">Orion Alert Details</a>[/code]

2022-06-02 17:17:45 - Anil Antoney (Work notes)
Work note copied from Parent Incident: please hold the ticket with the update - network issue due to power failure at the site , INC0110853

2022-06-02 17:13:33 - Anil Antoney (Work notes)
Work note copied from Parent Incident: Network nodes are down at Chihuahua-SSC. As per local contact there is an Outage.

2022-06-02 17:08:53 - Sreenath Nair (Work notes)
Work note copied from Parent Incident: Power Outage at Site

","20220602 173512  solarwinds integration work notes
alert reset  issue detected as resolved by orion
codea relnoopener noreferrer nofollow hrefhttpssolarwindswescoaircom443orionviewaspxnetobjectaat77762 target_blankorion alert detailsacode

20220602 173436  solarwinds integration work notes
work note copied from parent incident alert reset  issue detected as resolved by orion
codea relnoopener noreferrer nofollow hrefhttpssolarwindswescoaircom443orionviewaspxnetobjectaat78217 target_blankorion alert detailsacode

20220602 171745  anil antoney work notes
work note copied from parent incident please hold the ticket with the update  network issue due to power failure at the site  inc0110853

20220602 171333  anil antoney work notes
work note copied from parent incident network nodes are down at chihuahuassc as per local contact there is an outage

20220602 170853  sreenath nair work notes
work note copied from parent incident power outage at site

"
"2022-06-02 17:35:12 - SolarWinds Integration (Work notes)
Alert reset - issue detected as resolved by Orion
[code]<a rel=""noopener noreferrer nofollow"" href=""https://solarwinds.wescoair.com:443/Orion/View.aspx?NetObject=AAT:78242"" target=""_blank"">Orion Alert Details</a>[/code]

2022-06-02 17:18:16 - Anil Antoney (Work notes)
network issue due to power failure at the site , INC0110853

2022-06-02 17:11:49 - Anil Antoney (Work notes)
Network nodes are down at Chihuahua-SSC. As per local contact there is an Outage.

","20220602 173512  solarwinds integration work notes
alert reset  issue detected as resolved by orion
codea relnoopener noreferrer nofollow hrefhttpssolarwindswescoaircom443orionviewaspxnetobjectaat78242 target_blankorion alert detailsacode

20220602 171816  anil antoney work notes
network issue due to power failure at the site  inc0110853

20220602 171149  anil antoney work notes
network nodes are down at chihuahuassc as per local contact there is an outage

"
"2022-06-02 17:35:12 - SolarWinds Integration (Work notes)
Alert reset - issue detected as resolved by Orion
[code]<a rel=""noopener noreferrer nofollow"" href=""https://solarwinds.wescoair.com:443/Orion/View.aspx?NetObject=AAT:82278"" target=""_blank"">Orion Alert Details</a>[/code]

2022-06-02 17:18:27 - Anil Antoney (Work notes)
network issue due to power failure at the site , INC0110853

2022-06-02 17:12:36 - Anil Antoney (Work notes)
Network nodes are down at Chihuahua-SSC. As per local contact there is an Outage.

","20220602 173512  solarwinds integration work notes
alert reset  issue detected as resolved by orion
codea relnoopener noreferrer nofollow hrefhttpssolarwindswescoaircom443orionviewaspxnetobjectaat82278 target_blankorion alert detailsacode

20220602 171827  anil antoney work notes
network issue due to power failure at the site  inc0110853

20220602 171236  anil antoney work notes
network nodes are down at chihuahuassc as per local contact there is an outage

"
"2022-06-02 17:40:13 - SolarWinds Integration (Work notes)
Alert reset - issue detected as resolved by Orion
[code]<a rel=""noopener noreferrer nofollow"" href=""https://solarwinds.wescoair.com:443/Orion/View.aspx?NetObject=AAT:78221"" target=""_blank"">Orion Alert Details</a>[/code]

2022-06-02 17:34:36 - SolarWinds Integration (Work notes)
Work note copied from Parent Incident: Alert reset - issue detected as resolved by Orion
[code]<a rel=""noopener noreferrer nofollow"" href=""https://solarwinds.wescoair.com:443/Orion/View.aspx?NetObject=AAT:78217"" target=""_blank"">Orion Alert Details</a>[/code]

2022-06-02 17:17:45 - Anil Antoney (Work notes)
Work note copied from Parent Incident: please hold the ticket with the update - network issue due to power failure at the site , INC0110853

2022-06-02 17:13:33 - Anil Antoney (Work notes)
Work note copied from Parent Incident: Network nodes are down at Chihuahua-SSC. As per local contact there is an Outage.

2022-06-02 17:08:53 - Sreenath Nair (Work notes)
Work note copied from Parent Incident: Power Outage at Site

","20220602 174013  solarwinds integration work notes
alert reset  issue detected as resolved by orion
codea relnoopener noreferrer nofollow hrefhttpssolarwindswescoaircom443orionviewaspxnetobjectaat78221 target_blankorion alert detailsacode

20220602 173436  solarwinds integration work notes
work note copied from parent incident alert reset  issue detected as resolved by orion
codea relnoopener noreferrer nofollow hrefhttpssolarwindswescoaircom443orionviewaspxnetobjectaat78217 target_blankorion alert detailsacode

20220602 171745  anil antoney work notes
work note copied from parent incident please hold the ticket with the update  network issue due to power failure at the site  inc0110853

20220602 171333  anil antoney work notes
work note copied from parent incident network nodes are down at chihuahuassc as per local contact there is an outage

20220602 170853  sreenath nair work notes
work note copied from parent incident power outage at site

"
"2022-06-02 17:42:52 - SolarWinds Integration (Work notes)
Alert reset - issue detected as resolved by Orion
[code]<a rel=""noopener noreferrer nofollow"" href=""https://solarwinds.wescoair.com:443/Orion/View.aspx?NetObject=AAT:82279"" target=""_blank"">Orion Alert Details</a>[/code]

","20220602 174252  solarwinds integration work notes
alert reset  issue detected as resolved by orion
codea relnoopener noreferrer nofollow hrefhttpssolarwindswescoaircom443orionviewaspxnetobjectaat82279 target_blankorion alert detailsacode

"
"2022-06-02 17:42:52 - SolarWinds Integration (Work notes)
Alert reset - issue detected as resolved by Orion
[code]<a rel=""noopener noreferrer nofollow"" href=""https://solarwinds.wescoair.com:443/Orion/View.aspx?NetObject=AAT:79421"" target=""_blank"">Orion Alert Details</a>[/code]

","20220602 174252  solarwinds integration work notes
alert reset  issue detected as resolved by orion
codea relnoopener noreferrer nofollow hrefhttpssolarwindswescoaircom443orionviewaspxnetobjectaat79421 target_blankorion alert detailsacode

"
"2022-06-02 17:14:55 - SolarWinds Integration (Work notes)
Alert reset - issue detected as resolved by Orion
[code]<a rel=""noopener noreferrer nofollow"" href=""https://solarwinds.wescoair.com:443/Orion/View.aspx?NetObject=AAT:86231"" target=""_blank"">Orion Alert Details</a>[/code]

","20220602 171455  solarwinds integration work notes
alert reset  issue detected as resolved by orion
codea relnoopener noreferrer nofollow hrefhttpssolarwindswescoaircom443orionviewaspxnetobjectaat86231 target_blankorion alert detailsacode

"
