Region,Category,Country,Group,Summary,TSC,Date,Type,Cleaned_Column
AP,Network,Australia,Deskside,Network Drive - NDrive not working <<<BUSINESS STOPPED>>>,Y,21-09-2022,Incident,network drive  ndrive not working business 
AP,Network,Australia,Deskside,Network Drive - Other Issue,Y,21-09-2022,Incident,                       network drive  other issue
AP,Laptop,Australia,Deskside,Reported Issue - Hardware - Laptop_Desktop,Y,21-09-2022,Incident,        reported issue  hardware  laptop_desktop
AP,,South Korea,Deskside,Attachment by external sender is not loaded,Y,01-02-2023,Incident,       attachment by external sender is not loaded
AP,,China,Deskside,'I' in keyboard broken,Y,22-09-2022,Incident,                            i in keyboard broken
AM,Email,United States,Deskside,Unable to schedule a Teams meeting from Outlook,Y,27-09-2022,Incident,   unable to schedule a teams meeting from outlook
AM,,United States,Deskside,Application - Autocad (ES) Admin rights,Y,29-09-2022,Incident,           application  autocad es admin rights
AP,Laptop,Malaysia,Deskside,Laptop Issue,Y,26-09-2022,Incident,                                      laptop issue
AM,Email,United States,Deskside,Outlook- MS Team add in,Y,21-09-2022,Incident,                           outlook ms team add in
AM,Windows / OS,United States,Deskside,Reported Issue - Other / Miscellaneous,Y,27-01-2023,Incident,            reported issue  other  miscellaneous
AM,Laptop,United States,Deskside,Hardware Issue - New Laptop / Issues with current,Y,21-09-2022,Incident, hardware issue  new laptop  issues with current
AM,Laptop,United States,Deskside,HARD DOWN - Laptop Issue,Y,21-09-2022,Incident,                          hard down  laptop issue
AM,Network,United States,Deskside,Network Drive - Other Issue,Y,23-09-2022,Incident,                       network drive  other issue
AM,Hardware,United States,Deskside,Diana Meldrum-Hardware Issue - Docking Station,Y,04-10-2022,Incident,    diana meldrumhardware issue  docking station
AM,Laptop,United States,Deskside,Hardware Issue - Laptop,Y,21-09-2022,Incident,                           hardware issue  laptop
AM,Laptop,United States,Deskside,Reported Issue - Hardware - Laptop_Desktop,Y,22-09-2022,Incident,        reported issue  hardware  laptop_desktop
AM,Laptop,United States,Deskside,Hardware Issue - Laptop Keyboard on laptop isn't working. Redeploying a new machine for user. Redeploy ST:5CG21409Z1,Y,26-12-2022,Incident,hardware issue  laptop keyboard on laptop isn
AP,M365,Singapore,Deskside,Error which trying to login to use Microsoft Sticky Notes,Y,13-10-2022,Incident,error which trying to login to use microsoft st
AM,Hardware,United States,Deskside,Hardware Issue -  Docking station.,Y,11-10-2022,Incident,                hardware issue   docking station
AM,,United States,Deskside,Reported Issue - Application - Adobe Creative Suite,Y,21-09-2022,Incident,reported issue  application  adobe creative s
AM,Network,United States,Deskside,Nevin Mendez-Network issues - VPN - Connectivity,Y,21-09-2022,Incident,  nevin mendeznetwork issues  vpn  connectivity
AM,Email,United States,Deskside,Microsoft Office - Teams Outlook add -in,Y,22-09-2022,Incident,          microsoft office  teams outlook add in
AM,Network,United States,Deskside,Cathy Kives-Internet - Network connectivity issues,Y,22-09-2022,Incident,cathy kivesinternet  network connectivity issues
AM,Email,United States,Deskside,Reported Issue - Application - Outlook (desktop),Y,10-10-2022,Incident,  reported issue  application  outlook desktop
AM,Access,United States,Deskside,Issue - Document access ,Y,27-09-2022,Incident,                          issue  document access 
AM,Network,United States,Deskside,Cathy Kives-Network account -  Duplicate IDs,Y,23-09-2022,Incident,      cathy kivesnetwork account   duplicate ids
AM,Laptop,United States,Deskside,Hardware Issue - Laptop,Y,21-09-2022,Incident,                           hardware issue  laptop
AM,Network,United States,Deskside,URGENT - Network Server - Drive Mapping,Y,29-09-2022,Incident,           urgent  network server  drive mapping
AM,M365,United States,Deskside,Microsoft Teams - O365 App / SharePoint - Issues.,Y,22-09-2022,Incident, microsoft teams  o365 app  sharepoint  issues
AM,Laptop,United States,Deskside,Cathy Kives-Hardware Issue - Laptop - Cursor is freezing,Y,23-09-2022,Incident,cathy kiveshardware issue  laptop  cursor is
AM,Windows / OS,United States,Deskside,Reported Issue - Application - Adobe Creative Cloud Suite,Y,03-10-2022,Incident,reported issue  application  adobe creative c
AM,Printer,United States,Deskside,Printer Portal - Admin Rights,Y,22-09-2022,Incident,                     printer portal  admin rights
AM,Laptop,United States,Deskside,Hardware Issue -  Laptop - Camera not working,Y,22-09-2022,Incident,     hardware issue   laptop  camera not working
AM,,United States,Deskside,Software  Fiery Driver-  Admin rights needed,Y,23-09-2022,Incident,      software  fiery driver  admin rights needed
AM,Laptop,United States,Deskside,Hardware Issue - Laptop Issues,Y,23-09-2022,Incident,                    hardware issue  laptop issues
AM,,Canada,Deskside,"Excel is not downloading - Message - ""Unconfirmed 920470.crddownload""",Y,26-09-2022,Incident,excel is not downloading  message  unconfirm
AM,Laptop,United States,Deskside,Hardware Issue - Folders did not transfer to the new laptop,Y,26-09-2022,Incident,hardware issue  folders did not transfer to th
AM,Laptop,United States,Deskside,Laptop - Excel - Slowness Issues,Y,26-09-2022,Incident,                  laptop  excel  slowness issues
AM,,United States,Deskside,Avigilon Control Client - Install,Y,23-09-2022,Incident,                 avigilon control client  install
AM,Laptop,United States,Deskside,Hardware Issue - Laptop,Y,26-09-2022,Incident,                           hardware issue  laptop
AM,Email,United States,Deskside,Email - Issue sending or receiving reported,Y,22-09-2022,Incident,       email  issue sending or receiving reported
AM,Laptop,United States,Deskside,Hardware Issue - Laptop Upgrade,Y,21-09-2022,Incident,                   hardware issue  laptop upgrade
AM,,Canada,Deskside,JLL Adobe - Install assistance,Y,27-09-2022,Incident,                    jll adobe  install assistance
AM,,United States,Deskside,"Excel - ""Not Responding"" Issues",Y,26-09-2022,Incident,                   excel  not responding issues
AM,M365,United States,Deskside,Microsoft Visio - Install,Y,23-09-2022,Incident,                         microsoft visio  install
AM,Laptop,United States,Deskside,Hardware Issue - Laptop Performance,Y,25-11-2022,Incident,               hardware issue  laptop performance
AM,,United States,Deskside,Reported Issue - Application - Adobe Creative Cloud (EMEA),Y,22-09-2022,Incident,reported issue  application  adobe creative c
AM,Network,United States,Deskside,Network Drive - Other Issue,Y,21-09-2022,Incident,                       network drive  other issue
AM,Laptop,United States,Deskside,Aarthi Ramesh-Hardware Issue - Laptop - Camera not working,Y,29-09-2022,Incident,aarthi rameshhardware issue  laptop  camera 
AM,,United States,Deskside,Reported Issue - Application - Visio,Y,22-09-2022,Incident,              reported issue  application  visio
AM,Printer,Canada,Deskside,Hardware Issue - Printer,Y,22-09-2022,Incident,                          hardware issue  printer
AM,Laptop,United States,Deskside,Trish Gordon-Hardware Issue - Laptop Performance,Y,04-10-2022,Incident,  trish gordonhardware issue  laptop performance
AM,,United States,Deskside,Software Issues - NYC Digital Tax Map Issues.,Y,27-09-2022,Incident,     software issues  nyc digital tax map issues
AM,Access,United States,Deskside,Teams App not Accessible on iPhone,Y,21-09-2022,Incident,                teams app not accessible on iphone
AM,,United States,Deskside,Application Issue - Adobe Acrobat (signature),Y,29-09-2022,Incident,     application issue  adobe acrobat signature
AM,,United States,Deskside,Reported Issue - Admin rights -ArcGIS,Y,13-10-2022,Incident,             reported issue  admin rights arcgis
AM,,United States,Deskside,Reported Issue - Tableau installation (admin rights),Y,22-09-2022,Incident,reported issue  tableau installation admin ri
AM,Email,United States,Deskside,Microsoft Office (Outlook/Teams) - Not working properly,Y,26-09-2022,Incident,microsoft office outlookteams  not working 
AM,Email,United States,Deskside,Outlook issues - Change the default font and size in Outlook ,Y,22-09-2022,Incident,outlook issues  change the default font and si
AM,,Canada,Deskside,Application Issue - Adobe Acrobat (admin rights),Y,22-09-2022,Incident,  application issue  adobe acrobat admin rights
AM,Windows / OS,United States,Deskside,Issue - admin rights needed,Y,23-09-2022,Incident,                       issue  admin rights needed
AM,Laptop,United States,Deskside,Software/Laptop -Solstice -  Application Issues.,Y,23-09-2022,Incident,  softwarelaptop solstice   application issues
AM,,United States,Deskside,Typing not showing up in Word doc,Y,23-09-2022,Incident,                 typing not showing up in word doc
AM,Active Directory,United States,Deskside,Software / Installation assistance / Admin rights required,Y,27-09-2022,Incident,software  installation assistance  admin righ
AM,Active Directory,United States,Deskside,Admin rights needed to run software,Y,29-11-2022,Incident,               admin rights needed to run software
AM,Printer,United States,Deskside,Printer Driver -  Admin rights needed,Y,26-09-2022,Incident,             printer driver   admin rights needed
AM,Laptop,United States,Deskside,Hardware Issue - Laptop issues.,Y,08-10-2022,Incident,                   hardware issue  laptop issues
AM,M365,United States,Deskside,Disk Cleanup and Optimize Drives - Unable to use it,Y,26-09-2022,Incident,disk cleanup and optimize drives  unable to us
AM,Access,United States,Deskside, Landvision - Access Issues.,Y,23-09-2022,Incident,                       landvision  access issues
AM,M365,United States,Deskside,Reported Issue - Application - Microsoft Teams - IM/Chat/Desktop Client Function,Y,10-10-2022,Incident,reported issue  application  microsoft teams 
AM,M365,United States,Deskside,Reported Issue - Application - Microsoft Teams - Telecom Audio/Conf/Video features,Y,26-09-2022,Incident,reported issue  application  microsoft teams 
AM,Hardware,United States,Deskside,Hardware Issue - Docking Station,Y,26-09-2022,Incident,                  hardware issue  docking station
AM,,United States,Deskside,Reported Issue - Other / Miscellaneous,Y,26-09-2022,Incident,            reported issue  other  miscellaneous
AM,Email,United States,Deskside,Unable to schedule a Teams meeting from Outlook,Y,22-09-2022,Incident,   unable to schedule a teams meeting from outlook
AM,Laptop,United States,Deskside,Hardware Issue - Laptop,Y,07-10-2022,Incident,                           hardware issue  laptop
AM,M365,United States,Deskside,MS Teams - Audio issues.,Y,11-10-2022,Incident,                          ms teams  audio issues
AM,Laptop,United States,Deskside,Hardware Issue - Laptop issues.,Y,24-11-2022,Incident,                   hardware issue  laptop issues
AM,Password,United States,Deskside,user forgot password,Y,22-09-2022,Incident,                              user forgot password
AM,Hardware,United States,Deskside,Hardware Issue - Docking Station,Y,03-11-2022,Incident,                  hardware issue  docking station
AP,Network,Australia,Deskside,P2 -  \\ausyd04insp001\sydney network drive is running very slow,Y,21-09-2022,Incident,p2   ausyd04insp001sydney network drive is 
AP,Windows / OS,Malaysia,Deskside,User unable to login into window ,Y,23-09-2022,Incident,                 user unable to login into window 
AP,Active Directory,Hong Kong,Deskside,Frequent Lock Out,Y,05-10-2022,Incident,                                 frequent lock out
AM,Laptop,United States,Deskside,Hardware Issue - Laptop,Y,02-11-2022,Incident,                           hardware issue  laptop
AP,Laptop,Australia,Deskside,Hardware Issue - Laptop Performance,Y,08-11-2022,Incident,               hardware issue  laptop performance
AP,Laptop,Australia,Deskside,Reported Issue - Hardware - Laptop_Desktop,Y,25-09-2022,Incident,        reported issue  hardware  laptop_desktop
AP,,Hong Kong,Deskside,Application Issue - Itunes & bluetooth issue - [ Nicole],Y,23-09-2022,Incident,application issue  itunes  bluetooth issue  
AP,M365,Hong Kong,Deskside,Application Issue - How to restore file under MS Teams | HKQBY02L551 - 22HGXD3,Y,22-09-2022,Incident,application issue  how to restore file under m
AP,Email,India,Deskside,Email Issue,Y,26-09-2022,Incident,                                       email issue
AP,,India,Deskside,Application Issues,Y,23-09-2022,Incident,                                application issues
AP,Windows / OS,India,Deskside,Application Issue - issue in viewing drawings with Auto-CAD TrueView,Y,22-09-2022,Incident,application issue  issue in viewing drawings w
EMEA,Windows / OS,Germany,Deskside,Reported Issue - Other / Miscellaneous,Y,03-02-2023,Incident,            reported issue  other  miscellaneous
AM,,United States,Deskside,Reported Issue - Other / Miscellaneous,Y,05-10-2022,Incident,            reported issue  other  miscellaneous
AP,Hardware,India,Deskside,Hardware Troubleshooting,Y,28-09-2022,Incident,                          hardware troubleshooting
AM,Email,United States,Deskside,BAC-Outlook Not Opening,Y,22-09-2022,Incident,                           bacoutlook not opening
AM,Network,United States,Deskside,Internet - Network connectivity issues URGENT!,Y,26-09-2022,Incident,    internet  network connectivity issues urgent
AM,Laptop,United States,Deskside,Hardware - Loaner laptop.,Y,23-09-2022,Incident,                         hardware  loaner laptop
AM,Access,United States,Deskside,JLL Adobe  Sharepoint file access issues,Y,26-09-2022,Incident,          jll adobe  sharepoint file access issues
AM,Laptop,United States,Deskside,Hardware Issue - Laptop,Y,23-09-2022,Incident,                           hardware issue  laptop
AM,Laptop,United States,Deskside,Hardware Issue - Laptop Display is dim,Y,23-09-2022,Incident,            hardware issue  laptop display is dim
AM,,United States,Deskside,Reported Issue - Application - Adobe Creative Cloud Suite,Y,23-09-2022,Incident,reported issue  application  adobe creative c
AM,Windows / OS,United States,Deskside,Server - Fiery Driver Updater.exe Pop-Up,Y,07-10-2022,Incident,          server  fiery driver updaterexe popup
AM,Laptop,United States,Deskside, Reported Issue - Hardware - Laptop_Desktop,Y,04-10-2022,Incident,        reported issue  hardware  laptop_desktop
AM,Laptop,United States,Deskside,Hardware Issue - Laptop touchpad issues,Y,22-09-2022,Incident,           hardware issue  laptop touchpad issues
AM,Windows / OS,United States,Deskside,Reported Issue - Other / Miscellaneous,Y,23-09-2022,Incident,            reported issue  other  miscellaneous
AM,Windows / OS,United States,Deskside,URGENT - Mac - Computer Issues,Y,27-09-2022,Incident,                    urgent  mac  computer issues
AM,,United States,Deskside,Application Issue - Adobe Acrobat or Nitro PDF,Y,26-09-2022,Incident,    application issue  adobe acrobat or nitro pdf
AM,Laptop,United States,Deskside,Hardware Issue - Laptop,Y,22-09-2022,Incident,                           hardware issue  laptop
AM,Windows / OS,United States,Deskside,Reported Issue - Application - Windows 10,Y,05-10-2022,Incident,         reported issue  application  windows 10
AM,Network,United States,Deskside,Network Account - Off Network Computer Login Issue,Y,28-09-2022,Incident,network account  off network computer login issue
AM,Email,United States,Deskside,Outlook (desktop) - Encryption Issues.,Y,10-10-2022,Incident,            outlook desktop  encryption issues
AM,,United States,Deskside,Fiery Driver Updater.exe Pop-Up,Y,23-09-2022,Incident,                   fiery driver updaterexe popup
AM,Laptop,United States,Deskside,Hardware Issue - Laptop Not starting,Y,03-10-2022,Incident,              hardware issue  laptop not starting
AM,Laptop,United States,Deskside,Hardware Issue - Laptop,Y,27-09-2022,Incident,                           hardware issue  laptop
AM,Email,United States,Deskside,Email - Password prompt,Y,26-09-2022,Incident,                           email  password prompt
AM,Email,United States,Deskside,Microsoft Teams - Outlook add-in.,Y,23-09-2022,Incident,                 microsoft teams  outlook addin
AM,Windows / OS,United States,Deskside,ClickShare - Issues- Clickshare is not working- Admin ID required ,Y,21-10-2022,Incident,clickshare  issues clickshare is not working
AM,Email,United States,Deskside,Outlook (desktop) â€“ Unable to schedule a Teams meeting,Y,23-09-2022,Incident,outlook desktop â unable to schedule a team
AM,Laptop,United States,Deskside,Hardware Issue - Laptop Performance,Y,07-11-2022,Incident,               hardware issue  laptop performance
AM,Printer,United States,Deskside,JLL Hardware Issue - Printer Install driver issues,Y,26-09-2022,Incident,jll hardware issue  printer install driver issues
AM,Laptop,United States,Deskside,Hardware Issue - Laptop - Battery,Y,26-09-2022,Incident,                 hardware issue  laptop  battery
AM,Access,Canada,Deskside,URGENT - Not able to access to the computer without the VPN,Y,22-09-2022,Incident,urgent  not able to access to the computer wit
AM,Hardware,United States,Deskside,Reported Issue - Hardware - Software - Install,Y,26-09-2022,Incident,    reported issue  hardware  software  install
AM,M365,United States,Deskside,Microsoft Products - Issue,Y,26-09-2022,Incident,                        microsoft products  issue
AM,,United States,Deskside,Adobe Acrobat Reader - Issues,Y,26-09-2022,Incident,                     adobe acrobat reader  issues
AM,,United States,Deskside,Adobe Pro - Installation,Y,28-09-2022,Incident,                          adobe pro  installation
AM,Windows / OS,Argentina,Deskside,Connectivity - Internet Issue,Y,10-10-2022,Incident,                     connectivity  internet issue
AM,Email,Canada,Deskside,Outlook (desktop) - Phishing Icon Missing,Y,07-10-2022,Incident,         outlook desktop  phishing icon missing
AM,Access,United States,Deskside,Microsoft Access (desktop) - Access,Y,29-09-2022,Incident,               microsoft access desktop  access
AM,,Canada,Deskside,Adobe Acrobat Standard DC - License Issues,Y,29-09-2022,Incident,        adobe acrobat standard dc  license issues
AM,,United States,Deskside,JLL Adobe Install Assistance,Y,27-09-2022,Incident,                      jll adobe install assistance
AM,,United States,Deskside,Desktop needs to be cleaned. PDF file needs to be deleted. - Deskside support.,Y,03-10-2022,Incident,desktop needs to be cleaned pdf file needs to 
AM,Email,United States,Deskside,JLL Outlook compress files to attach on email,Y,06-10-2022,Incident,     jll outlook compress files to attach on email
AM,Access,United States,Deskside,Network Drive - Access issues,Y,28-09-2022,Incident,                     network drive  access issues
AM,Active Directory,United States,Deskside,SSO Issues - Invalid credentials,Y,28-09-2022,Incident,                  sso issues  invalid credentials
AM,Laptop,United States,Deskside,Hardware Issue - Laptop,Y,26-09-2022,Incident,                           hardware issue  laptop
AM,,United States,Deskside,Office Trax ,Y,22-09-2022,Incident,                                      office trax 
AM,Network,United States,Deskside,Network issues - VPN - Connectivity: Login failed,Y,26-09-2022,Incident, network issues  vpn  connectivity login failed
AM,Laptop,United States,Deskside,Hardware Issue - Laptop battery issues / Performance,Y,27-09-2022,Incident,hardware issue  laptop battery issues  perfor
AM,Password,United States,Deskside,Chrome - Bookmarks and passwords disappear every time Chrome is fully closed,Y,26-09-2022,Incident,chrome  bookmarks and passwords disappear ever
AM,Network,United States,Deskside,Internet - Network connectivity issues - URGENT!,Y,26-09-2022,Incident,  internet  network connectivity issues  urgent
AM,,United States,Deskside,Application Issue - Adobe Acrobat/Installation,Y,28-09-2022,Incident,    application issue  adobe acrobatinstallation
AM,M365,United States,Deskside,Microsoft Project - Admin credentials needed for installation,Y,26-09-2022,Incident,microsoft project  admin credentials needed fo
AM,,United States,Deskside,Reported Issue - Security - Other,Y,13-10-2022,Incident,                 reported issue  security  other
AM,Windows / OS,United States,Deskside,Out of space in the computer,Y,22-09-2022,Incident,                      out of space in the computer
AM,Access,,Deskside,Generic Account - Access Issues ,Y,28-09-2022,Incident,                  generic account  access issues 
AM,Printer,United States,Deskside,JLL Hardware Issue - Printer mapping  issue,Y,03-10-2022,Incident,       jll hardware issue  printer mapping  issue
AM,Laptop,United States,Deskside,JLL Hardware Issue - Laptop Performance Issues,Y,26-09-2022,Incident,    jll hardware issue  laptop performance issues
AM,,United States,Deskside,BAC  Visio Install and setup Assistance,Y,27-09-2022,Incident,           bac  visio install and setup assistance
AM,M365,United States,Deskside,BAC - Microsoft Teams - Not working due to error,Y,22-09-2022,Incident,  bac  microsoft teams  not working due to error
AM,Network,United States,Deskside,URGENT - Network Account - Off Network Computer Login Issue,Y,23-09-2022,Incident,urgent  network account  off network computer
AM,Access,United States,Deskside,Not able to access to the computer without the VPN,Y,22-09-2022,Incident,not able to access to the computer without the vpn
AM,M365,United States,Deskside,AM - Azuresynapce - Microsoft Integration Runtime,Y,05-12-2022,Incident, am  azuresynapce  microsoft integration runtime
AM,Laptop,United States,Deskside,Hardware Issue - Laptop crashing when unplugged,Y,06-10-2022,Incident,   hardware issue  laptop crashing when unplugged
AM,Printer,United States,Deskside,Reported Issue - Hardware - Printer,Y,23-09-2022,Incident,               reported issue  hardware  printer
AM,Email,United States,Deskside,Email - Other reported,Y,26-09-2022,Incident,                            email  other reported
AM,Hardware,United States,Deskside,JLL Hardware Issue - PDF Print Portal issues,Y,26-09-2022,Incident,      jll hardware issue  pdf print portal issues
AM,Intune,United States,Deskside,JLL - Intune - Application Download Issues,Y,06-10-2022,Incident,        jll  intune  application download issues
AM,,United States,Deskside,JLL Office Word/Excel - Appplication issues,Y,26-09-2022,Incident,       jll office wordexcel  appplication issues
AP,,New Zealand,Deskside,Reported Issue - Application - Dell Display Manager,Y,22-09-2022,Incident,reported issue  application  dell display man
AM,,United States,Deskside,Unable to install applications - Visio,Y,28-09-2022,Incident,            unable to install applications  visio
AM,Laptop,United States,Deskside,Hardware Issue - Laptop,Y,10-10-2022,Incident,                           hardware issue  laptop
AM,Printer,Canada,Deskside,Hardware Issue -  Fiery printer pop up,Y,26-09-2022,Incident,            hardware issue   fiery printer pop up
AM,Laptop,United States,Deskside,Hardware Issue - Laptop Performance  ,Y,16-11-2022,Incident,             hardware issue  laptop performance  
AM,Hardware,United States,Deskside,ALP - Reported Issue - Hardware - Headset - Pierce Gonzalez,Y,03-10-2022,Incident,alp  reported issue  hardware  headset  pie
AM,Email,United States,Deskside,MAC - Outlook (desktop)  -  Application issues- Connecting Mac to a hotspot  ,Y,22-09-2022,Incident,mac  outlook desktop    application issues
AM,Laptop,United States,Deskside,Alix Tanico - Hardware Issue - Laptop - Computer's disk space is almost full ,Y,02-11-2022,Incident,alix tanico  hardware issue  laptop  compute
AM,,United States,Deskside,BAC Compliance Checking at Login,Y,26-09-2022,Incident,                  bac compliance checking at login
AM,,United States,Deskside,Reported Issue - Application - ,Y,23-09-2022,Incident,                   reported issue  application  
AM,,United States,Deskside,Reported Issue - Application - Desktop needs to cleaned up. Files and folders/File Explorer - Deskside support.,Y,28-09-2022,Incident,reported issue  application  desktop needs to
AM,Windows / OS,United States,Deskside, users pc screen is broken ,Y,13-10-2022,Incident,                        users pc screen is broken 
AP,Email,Australia,Deskside, unable to save email to N drive - INC1117193,Y,25-09-2022,Incident,      unable to save email to n drive  inc1117193
AM,Windows / OS,United States,Deskside,Server - Fiery Driver Updater.exe Pop-Up,Y,23-09-2022,Incident,          server  fiery driver updaterexe popup
AM,,United States,Deskside,Reported Issue - Application - ,Y,27-09-2022,Incident,                   reported issue  application  
AM,,United States,Deskside,No power options available ,Y,23-09-2022,Incident,                       no power options available 
AP,,,Deskside,P3 - Bangalore Main - inblr01nrtp002 - DMVPN Tunnel - The interface you want to monitor is disconnected,Y,23-09-2022,Incident,p3  bangalore main  inblr01nrtp002  dmvpn tu
AM,,United States,Deskside,Computer - Lost Admin Rights ,Y,28-10-2022,Incident,                     computer  lost admin rights 
AM,Windows / OS,United States,Deskside,connectivitty issue to internet ,Y,27-09-2022,Incident,                  connectivitty issue to internet 
AP,Email,Singapore,Deskside,Outlook Email not sent,Y,23-09-2022,Incident,                            outlook email not sent
AP,Windows / OS,India,Deskside,inblr03l572 â€“ Unable to boot into Windows,Y,23-09-2022,Incident,       inblr03l572 â unable to boot into windows
AP,Email,India,Deskside,Email Issues,Y,28-09-2022,Incident,                                      email issues
AP,Windows / OS,India,Deskside,Windows Configuration,Y,26-09-2022,Incident,                             windows configuration
AP,,India,Deskside,Application issue,Y,10-10-2022,Incident,                                 application issue
AP,Active Directory,Hong Kong,Deskside,Account frequent lock,Y,10-10-2022,Incident,                             account frequent lock
AM,,,Deskside,P3 Incident - uscohrtr01 - Gi0/0/0 - Ping down,Y,27-09-2022,Incident,    p3 incident  uscohrtr01  gi000  ping down
AP,Windows / OS,India,Deskside,Windows Troubleshooting,Y,27-09-2022,Incident,                           windows troubleshooting
AP,,India,Deskside,Airtel dongle is not working properly,Y,20-10-2022,Incident,             airtel dongle is not working properly
AM,,United States,Deskside,Reported Issue - Application - Photoshop,Y,26-09-2022,Incident,          reported issue  application  photoshop
AM,Windows / OS,United States,Deskside,Software issues - Admin rights,Y,23-09-2022,Incident,                    software issues  admin rights
AP,Network,India,Deskside,Network Issues,Y,07-10-2022,Incident,                                    network issues
AM,Email,Canada,Deskside,Outlook Email - Retrieve folder ,Y,27-09-2022,Incident,                  outlook email  retrieve folder 
AM,Email,United States,Deskside,Outlook- Issues,Y,27-09-2022,Incident,                                   outlook issues
AP,M365,India,Deskside,Application Issues,Y,29-09-2022,Incident,                                application issues
AM,,Argentina,Deskside,App - AutoCAD -  Admin Rights,Y,18-10-2022,Incident,                     app  autocad   admin rights
AM,,United States,Deskside,JLL  Excel non response application issue,Y,13-10-2022,Incident,         jll  excel non response application issue
AM,Laptop,United States,Deskside,Hardware Issue - Laptop,Y,07-10-2022,Incident,                           hardware issue  laptop
AM,,United States,Deskside,JLL Excel Macros issue on files,Y,29-09-2022,Incident,                   jll excel macros issue on files
AM,Laptop,United States,Deskside,Hardware Issue - Laptop is crashing ,Y,03-10-2022,Incident,              hardware issue  laptop is crashing 
AM,M365,United States,Deskside,JLL teams Camera issues,Y,26-09-2022,Incident,                           jll teams camera issues
AM,Email,United States,Deskside,JLL outlook application and OST error ,Y,11-10-2022,Incident,            jll outlook application and ost error 
AM,Hardware,United States,Deskside,JLL Hardware Issue - Docking Station issues,Y,27-09-2022,Incident,       jll hardware issue  docking station issues
AM,Hardware,United States,Deskside,JLL Hardware Issue - Docking Station issues,Y,26-09-2022,Incident,       jll hardware issue  docking station issues
AM,Laptop,United States,Deskside,Hardware Issue - Laptop,Y,27-09-2022,Incident,                           hardware issue  laptop
AM,,United States,Deskside,Application Issue - Adobe Acrobat or Nitro PDF,Y,28-09-2022,Incident,    application issue  adobe acrobat or nitro pdf
AM,Printer,United States,Deskside,Software ( Fiery Printer Driver Updater Module) -  Admin rights required,Y,27-09-2022,Incident,software  fiery printer driver updater module
AM,Laptop,United States,Deskside,Jon Harris-Hardware Issue - Laptop,Y,26-09-2022,Incident,                jon harrishardware issue  laptop
AM,Printer,United States,Deskside,Hardware Issue - Printer,Y,26-09-2022,Incident,                          hardware issue  printer
AM,Laptop,United States,Deskside,JLL Hardware Issue - Laptop Headphone jack issues,Y,28-09-2022,Incident, jll hardware issue  laptop headphone jack issues
AM,,United States,Deskside,Computers not receiving management updates,Y,06-10-2022,Incident,        computers not receiving management updates
AM,Laptop,United States,Deskside,Top Sen-HARD DOWN - Laptop Not starting,Y,23-09-2022,Incident,           top senhard down  laptop not starting
AM,,United States,Deskside,Static IP address change multiple times during the day (user needs admin rights) please review,Y,29-11-2022,Incident,static ip address change multiple times during 
AM,Hardware,United States,Deskside,JLL Hardware Issue - Monitor setup issue,Y,26-09-2022,Incident,          jll hardware issue  monitor setup issue
AM,Laptop,United States,Deskside,JLL Hardware Issue - Laptop Install battery replacement,Y,27-09-2022,Incident,jll hardware issue  laptop install battery rep
AM,M365,United States,Deskside,JLL Teams Application Performance  issue,Y,05-10-2022,Incident,          jll teams application performance  issue
AM,Laptop,United States,Deskside,Hardware Issue - Laptop,Y,27-09-2022,Incident,                           hardware issue  laptop
AM,Printer,United States,Deskside,JLL Hardware Issue - Printer Portal unable to print issue,Y,04-10-2022,Incident,jll hardware issue  printer portal unable to p
AM,M365,United States,Deskside,MS Teams - Audio Issues ,Y,11-10-2022,Incident,                          ms teams  audio issues 
AM,Laptop,United States,Deskside,Laptop - Access Issues (Unable to enter MFA factor at VPN for synchronization of new credentials) ,Y,11-10-2022,Incident,laptop  access issues unable to enter mfa fac
AM,Email,United States,Deskside,Ryan Burrows - Hardware Issue - Laptop Performance - Outlook view needs to be addressed also.,Y,19-01-2023,Incident,ryan burrows  hardware issue  laptop performa
AM,Active Directory,United States,Deskside,Micosoft azure - pop-up issue,Y,23-09-2022,Incident,                     micosoft azure  popup issue
AM,Email,United States,Deskside,Outlook - Asure Resource Scheduler is not an option on outlook,Y,26-09-2022,Incident,outlook  asure resource scheduler is not an op
AM,Access,United States,Deskside,Hardware Issue - Accessories - Cable - Docking Station,Y,26-09-2022,Incident,hardware issue  accessories  cable  docking 
AM,Printer,United States,Deskside,Hardware Issue - Printer,Y,27-09-2022,Incident,                          hardware issue  printer
AM,Email,United States,Deskside,Outlook Email not sent,Y,26-09-2022,Incident,                            outlook email not sent
AM,,Canada,Deskside,Application Issue - Adobe Acrobat Pro - SharePoint,Y,27-09-2022,Incident,application issue  adobe acrobat pro  sharepoint
AM,Laptop,United States,Deskside,IMAGED/DEPLOYED Redeploy MacBook Pro 13 ST: C02C75RBLVDL Dan Ober Configure and Ship Laptop Hardware Issue - Laptop,Y,13-10-2022,Incident,imageddeployed redeploy macbook pro 13 st c02
AM,,United States,Deskside,Application - Issues ,Y,07-10-2022,Incident,                             application  issues 
AM,,United States,Deskside,Visio - Installation Issues.,Y,26-09-2022,Incident,                      visio  installation issues
AM,Windows / OS,United States,Deskside,BAC Unable to print ,Y,26-09-2022,Incident,                              bac unable to print 
AM,,United States,Deskside,VPN - Connectivity Issues.,Y,29-09-2022,Incident,                        vpn  connectivity issues
